Title,Year,Duration,Country,Genre,Director,Roles,Rating,Count
"Добро пожаловать, или Соседям вход воспрещен",2024,1 ч 55 мин,США,комедия,Джон Уайтселл,"Дэнни ДеВито, Мэттью Бродерик",6.3,17 860
Рапунцель: Запутанная история,2004,1 ч 40 мин,США,мультфильм,Нэйтан Грено,"Мэнди Мур, Закари Ливай",8.0,478 092
Меч короля Артура,1983,3 ч 49 мин,Великобритания,фэнтези,Гай Ричи,"Чарли Ханнэм, Астрид Берже-Фрисби",7.2,338 183
Бесконечность,2015,1 ч 59 мин,США,фантастика,Антуан Фукуа,"Марк Уолберг, Чиветель Эджиофор",6.3,238 569
Пункт назначения,2006,1 ч 33 мин,США,ужасы,Джеймс Вон,"Девон Сава, Эли Лартер",7.5,172 982
Самый Новый год!,2010,1 ч 40 мин,Россия,комедия,Антонина Руже,"Роман Курцын, Алина Алексеева",7.2,193 716
Топ Ган: Мэверик,2017,2 ч 6 мин,США,боевик,Джозеф Косински,"Том Круз, Майлз Теллер",7.7,128 103
Заклятие: Реинкарнация отца,2021,1 ч 46 мин,Великобритания,ужасы,Бенжамин Барфут,"Джулия Браун, Натаниэль Мартелло-Уайт",5.6,3 795
Гравитация,2000,1 ч 38 мин,США,фантастика,Альфонсо Куарон,"Сандра Буллок, Джордж Клуни",7.5,275 982
Столкновение,2020,1 ч 20 мин,США,триллер,Пол Хаггис,"Дон Чидл, Мэтт Диллон",7.8,215 316
Пила: Спираль,2020,N/A,США,детектив,Даррен Линн Боусман,"Крис Рок, Макс Мингелла",5.4,87 059
Воздух,2022,2 ч 10 мин,Россия,военный,Алексей Герман мл.,"Анастасия Талызина, Аглая Тарасова",6.8,305 169
Рождество кота Боба,2024,1 ч 32 мин,Великобритания,драма,Чарльз Мартин Смит,"Люк Тредэвэй, Элла Джарвис",7.8,65 010
Искусственный разум,2013,1 ч 30 мин,США,фантастика,Стивен Спилберг,"Хейли Джоэл Осмент, Джуд Лоу",7.9,170 386
Мост в Терабитию,2004,1 ч 52 мин,США,фэнтези,Габор Чупо,"Джош Хатчерсон, Аннасофия Робб",7.8,218 440
Пила: Игра на выживание,2020,1 ч 33 мин,США,ужасы,Джеймс Ван,"Ли Уоннелл, Кэри Элвес",7.8,189 978
Человек-паук: Возвращение домой,2023,2 ч 31 мин,США,фантастика,Джон Уоттс,"Том Холланд, Роберт Дауни мл.",7.2,399 518
Вечера на хуторе близ Диканьки,2023,N/A,СССР,фэнтези,Александр Роу,"Юрий Тавров, Людмила Хитяева",8.2,196 318
Тёмные отражения,2018,1 ч 44 мин,США,фантастика,Дженнифер Ю Нельсон,"Амандла Стенберг, Мэнди Мур",6.2,87 634
